date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:49:41	665592/665592	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2022:19:42%20GMT	https://hindi.news18.com/news/bihar/araria/	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/news/bihar/araria/index.html	(from https://hindi.news18.com/news/bihar/)
03:49:41	666304/666304	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2022:19:43%20GMT	https://hindi.news18.com/news/bihar/katihar/	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/news/bihar/katihar/index.html	(from https://hindi.news18.com/news/bihar/)
03:49:42	666736/666736	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2022:19:43%20GMT	https://hindi.news18.com/news/bihar/aurangabad-bihar/	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/news/bihar/aurangabad-bihar/index.html	(from https://hindi.news18.com/news/bihar/)
03:49:43	426469/426469	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2022:19:44%20GMT	https://hindi.news18.com/news/bihar/patna-on-duty-constable-of-bihar-police-cocked-rifle-on-his-colleagues-at-pmch-patna-know-the-reason-5558869.html	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/news/bihar/patna-on-duty-constable-of-bihar-police-cocked-rifle-on-his-colleagues-at-pmch-patna-know-the-reason-5558869.html	(from https://hindi.news18.com/news/bihar/)
03:49:44	666696/666696	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2022:19:45%20GMT	https://hindi.news18.com/news/bihar/kishanganj/	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/news/bihar/kishanganj/index.html	(from https://hindi.news18.com/news/bihar/)
03:49:44	663879/663879	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2022:19:45%20GMT	https://hindi.news18.com/news/bihar/kaimur/	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/news/bihar/kaimur/index.html	(from https://hindi.news18.com/news/bihar/)
03:49:45	667962/667962	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2022:19:45%20GMT	https://hindi.news18.com/news/bihar/khagaria/	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/news/bihar/khagaria/index.html	(from https://hindi.news18.com/news/bihar/)
03:49:45	365722/365722	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2022:19:47%20GMT	https://hindi.news18.com/news/bihar/sitamarhi-suspected-lady-from-china-arrested-at-india-nepal-border-in-sitamarhi-bihar-5558203.html	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/news/bihar/sitamarhi-suspected-lady-from-china-arrested-at-india-nepal-border-in-sitamarhi-bihar-5558203.html	(from https://hindi.news18.com/news/bihar/)
03:49:46	567895/567895	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2022:19:48%20GMT	https://hindi.news18.com/news/bihar/chapra/	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/news/bihar/chapra/index.html	(from https://hindi.news18.com/news/bihar/)
03:49:47	664618/664618	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2022:19:48%20GMT	https://hindi.news18.com/news/bihar/gopalganj/	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/news/bihar/gopalganj/index.html	(from https://hindi.news18.com/news/bihar/)
